"","NumMods","NumUnAssigned","MeanGeneNum","MinGeneNum","MaxGeneNum","MeanVarExp","MeanVarExp_noMin","MinVarExp","MinVarExp_noMin","MaxVarExp","pam","split"
"1",56,"NA",614.428571428571,40,3825,0.394283328415201,0.396009148119187,0.299363244695965,0.310971363228618,0.56458999261394,"TRUE",0
"2",63,"NA",546.15873015873,40,3655,0.398593390686074,0.400085315470915,0.306094054025939,0.319743197672626,0.56458999261394,"TRUE",1
"3",93,"NA",369.978494623656,39,2120,0.424492981072588,0.425920925541178,0.29312208996227,0.298151306424881,0.576737523625956,"TRUE",2
"4",155,"NA",221.987096774194,33,1752,0.458732747336301,0.459817724527716,0.29164625985828,0.312952465171053,0.676578027804463,"TRUE",3
"5",185,"NA",185.989189189189,30,1558,0.459862805688235,0.460872308129987,0.274114356405785,0.289304392075784,0.689785381860652,"TRUE",4
"6",56,"18027",292.517857142857,35,1381,0.535831284416821,0.543155890751699,0.125653329663638,0.326782544997869,0.685748616726771,"FALSE",0
"7",63,"18762",248.349206349206,35,1145,0.537655999574679,0.544152512275701,0.128375699410291,0.326782544997869,0.685748616726771,"FALSE",1
"8",93,"17160",185.462365591398,31,1145,0.54996945290797,0.554391625366971,0.138707414220866,0.322385324461143,0.871439789644645,"FALSE",2
"9",155,"15526",121.81935483871,30,820,0.54799093445383,0.550609308592823,0.142142942909968,0.326782544997869,0.871439789644645,"FALSE",3
"10",185,"15029",104.751351351351,30,820,0.536923800529185,0.539048887109065,0.143782783251356,0.327985986403847,0.871439789644645,"FALSE",4
