"","AEpalevioletred3","AEnavajowhite","AEyellow","AEskyblue3","AEdarkorange","AEmaroon","AEcyan","AEyellow4","AEplum3","AEblue4","AEdarkolivegreen2","AEbisque4","AEnavajowhite2","AEbrown4","AEorangered4","AEdarkturquoise","AEpaleturquoise","AEhoneydew1","AElavenderblush1","AElightgreen","AEskyblue1","AEantiquewhite2","AEpalevioletred2","AEskyblue","AEmediumpurple4","AEmidnightblue","AEplum","AEdarkgreen","AEcoral1","AEyellow3","AEblue","AEivory","AEpurple","AEcoral","AElightsteelblue1","AEsteelblue","AEnavajowhite1","AEsalmon1","AEblue2","AEdarkolivegreen","AEtan","AEgreen4","AEthistle","AElavenderblush2","AElightcyan","AEdarkorange2","AEdeeppink","AEblack","AEturquoise","AEcoral2","AEthistle4","AElightpink3","AEthistle1","AEdarkmagenta","AEskyblue2","AEorange","AEpink4","AEfirebrick3","AElightsteelblue","AEgreenyellow","AEdarkgrey","AEdarkseagreen2","AEhoneydew","AEindianred4","AElightcoral","AElavenderblush3","AEdarkseagreen3","AEdarkviolet","AEdarkslateblue","AEtan4","AEmagenta4","AEsaddlebrown","AEmediumpurple1","AEskyblue4","AEchocolate4","AEsalmon2","AElightpink2","AEorangered1","AEorangered3","AEdarkred","AElightslateblue","AEfloralwhite","AEplum4","AElightblue4","AEantiquewhite4","AEdarkolivegreen4"
"1",-0.583026735370886,-0.385851399967133,0.441593019417724,-0.765595872547991,-1.07630669830971,-0.639782096218844,-0.434086080487864,-0.760426965539201,-0.143505218324058,0.474305068082335,0.529344387509791,-0.0677020828252684,0.584400392926966,-0.315076123930701,0.745339993051247,0.614901438284998,0.950667966384525,0.561932772554667,0.772378417248511,0.577859875967706,-0.595935662960854,0.547059050936012,0.422434453084845,0.587315685404146,0.878864154445314,-0.334062609477488,-0.156640989074589,-0.70189419615003,0.0312221490578592,-0.535015531077726,0.571315989081661,0.400977006215619,0.119270465060701,1.12479879727246,0.5720574056928,-1.41434075948991,-0.304452180949912,-0.786031944509433,-0.368770734315798,-0.896493600426819,-1.03256860588568,-0.741038648959801,-0.285706451995421,0.666924341698065,1.12758269336213,-0.468867405379265,-1.00479320691004,-0.793133887923184,-0.490797410535652,0.47604299140353,0.43724041061979,0.108252869943806,0.0649435103726269,0.957296493126326,0.821906328263053,0.583366769092437,0.961526555109836,-0.545748006288934,0.567627603865436,-0.692692709431585,0.670023086749281,-0.261967153790326,0.758842618296515,-0.15779683914671,-0.0657647100957391,0.0176736404513538,-0.205700364908997,-0.0636476443378361,-1.07652994472441,-1.27177966408187,-1.14390670336291,-1.01002908490603,-1.02541126484029,-0.834453001401532,-0.827025911326102,0.50946030657485,0.307394178716888,-0.584024158144178,-0.346798334430851,-0.333417610104262,-0.689554635388767,-0.676721141475339,-0.155997834650271,-0.428640265583103,-0.607295727685301,-0.591196281955387
"2",-0.0376806985932179,-0.346176729475646,0.604610072790679,-0.664881699240024,0.491917255771831,-0.542313349749232,-0.817236694169667,-1.22161098208474,-0.105184591402093,0.329299263240746,0.25192858993822,0.127795378431519,0.645779918633984,-0.128326228234813,0.325410786122134,-0.837881829645751,-0.580263480338957,-0.986012306978878,-0.932785032780688,-0.859064157308942,-0.484047311377365,-1.60157736792131,-1.11053769480854,-0.987234326400022,0.531714908484858,-0.178016083226357,1.25738416747284,-0.146165066365785,0.213801918538005,0.818210711408653,0.584837184696167,0.414770989365178,0.381527383752728,-0.370125041602427,0.550269299650276,0.317247172612618,0.923265984899666,0.839814188097343,0.880151176140696,0.107466884490269,0.409686612353613,0.362696652653832,0.0167167697581297,0.179508984458784,0.673602873844027,-0.477864150611652,-0.616483640894265,-0.547621972222508,-0.621054288403581,0.282956717389766,-0.349095461835103,-0.272606959225563,-0.609263467803951,-0.492212612642271,0.468565970801713,-0.00171294281291655,0.154137530398568,0.880427424230745,0.54167687226068,0.418673323112331,0.461779261420327,-0.15545799131945,0.606483082868519,0.214106193881547,-0.149030834894943,-0.38613449764463,-0.141241999074077,0.00822287591352322,-0.942435962171649,-0.390639585340005,-0.494971123868513,-0.449970478511454,-0.825081232288124,-0.95154498733426,-0.829892068323506,-0.0344909040470638,0.0457890949027569,0.113464622713136,-0.645057571559694,-0.257709911180522,-0.553071878466699,-0.682202649698992,-0.393797853183291,-0.28187911708229,-0.641538776918063,-1.41253918643467
"6",-0.185506175868777,-0.357807370534812,0.590264622374006,-0.639132424711014,0.355337547146139,-0.552075813538332,-0.824535501217418,-1.29918451131315,-0.345647475916759,0.339548034821609,0.268413932388752,0.033960192626417,0.441637119178242,0.736787623568154,0.673294978973043,-0.781170145503411,-0.506996026698254,-1.21064377983629,-0.705603159066832,-0.840159044180002,-0.631912949316519,-1.46160330609173,-1.05737054190209,-0.940881136677178,0.23836023970253,-0.35299339955461,1.03670643964091,0.0205238277430955,0.01228096779899,0.494103047008485,0.578467447744607,0.465797093381625,0.192972056154707,-0.325279663679801,0.592725195921214,0.296521591265382,1.14831021608011,0.793648380988017,0.870078776139698,0.266787763413375,0.473260421995246,0.0869542441478275,-0.171895701195606,-0.670646474694089,-0.250957168587601,-0.382102368311142,-0.722003992259842,-0.459012980360648,-0.730862492152936,0.382204153133741,0.351074895684331,-0.227774168261267,-0.357467166725137,-0.381465285052178,0.481687503110562,-0.00434564822540127,0.087941352585316,0.939440764987187,0.471379278624518,0.442631864906745,0.536380319255984,-0.216432213158126,0.563887510481395,-0.0988912366651652,-0.255458839169754,-0.678942417176495,-0.88737400327275,-0.573606296923923,-0.768918368028517,-0.702815076021292,-0.683013284515158,-0.563414601328421,-0.778445274978788,-0.431118466487233,-0.553528530228252,0.0365071211087406,-0.187443440816204,0.314363251132421,-0.57936057388084,-0.128543182587075,-0.486171182240304,-0.638988925690353,-0.458985816360478,-0.326569552210927,-0.529021031431867,-1.00932423490371
"8",0.0120725563767245,0.206296931948759,1.03180472621236,0.789248409089217,0.386735967918292,0.953957960864001,-0.64682013380623,-1.40553005811383,0.31571880712681,0.214727655108704,0.00864056290048499,0.377812469650614,1.27780440104005,0.129472713893507,0.561122211302472,0.534638058289686,0.744403992738236,0.438141664569852,0.343648918928102,0.419642261636755,0.988840770489572,0.339809196375344,0.0539663159634944,0.416560959555113,0.659342761096466,-0.107445851908482,0.167496967326023,0.245284483591685,0.1456438567962,0.157047586687057,0.844658295289832,0.688236999311007,0.508248224867151,-0.613515192452548,-1.06939743442528,0.20826329405719,-0.250067024114199,-0.218189377552957,-0.607290213802205,-0.85170804378711,-0.963069411524192,0.0500400213794697,0.181867363386317,-1.11292334003924,-0.449841677557457,-0.284368684126358,-0.625589659203495,-0.938733133323701,-0.774028185690768,-0.622202297433282,-0.271235453221835,0.131182527343412,-0.414287690208908,-0.453272340308937,-0.140905604926416,-0.668763565560743,-0.147373430354845,-0.646508981981814,-0.410249763853688,-0.676058010097166,-1.08163570697427,-1.28635379660035,0.369419153605907,-0.176844038163835,-0.418219208273832,-0.186560355583561,0.0288487278657659,0.417381880859331,-0.865390684642382,-0.188456856277203,-0.787695585666575,-0.38673253724295,-0.554081721608031,-0.922844071282404,-0.095733271119321,-0.262979981219783,-0.0297889208890081,-0.503015050283238,-0.897006145274693,-0.545780050418414,-1.00777062452481,-0.4192875306406,-0.260685840162992,-0.779538455498287,-0.594482165185112,-1.15594257812483
"10",-0.54943435689105,-0.80401567000907,-0.0641952699329093,0.892110092589177,0.472005414746457,0.620319217196376,-0.126129893476774,-0.626731059291547,0.428916133693533,0.560452688848235,0.115946843384406,-0.459526112858429,0.285395870490338,-0.0877548677228449,-0.189087052199441,0.726160515983569,0.922737008338205,0.529472518603679,0.303761845628286,0.711905999839338,1.00956883434224,0.243319642407856,0.0500471990636982,0.333639979634062,0.619754321938728,0.33049675122762,0.0936080195142746,-0.268631223679659,0.714454693809461,0.208063379631294,0.574771244498534,0.704647731858286,0.557367140240768,-0.695389299865342,-1.3209727597323,0.440140898059523,-0.794011961753157,-0.353643844991691,-0.429247865064029,-0.592961781210601,-0.903903250195763,-0.841401280076289,-0.826953027838315,-0.473439113053429,-0.220965967356776,-0.626334797334247,-0.421283398823331,-0.588883788839363,-0.335437347622953,-1.07372322584832,-0.937557044590489,-0.717309678170358,-0.499154317891037,-0.429010517237945,0.655199793128896,0.0334910094924214,-0.125734499883787,-0.495575968998003,-0.375088532371057,-0.63490033608762,-0.906369757736,-0.806726206814841,1.21245116385884,0.741512772068483,0.656861535912246,1.02281654315352,0.981373228322764,0.81534377333725,-0.411361514748218,0.753227952332792,0.274395225457784,-0.477423988193891,0.434445420100377,0.29407981335694,-0.384472639017959,-0.0756209959503003,0.68174634195097,-0.0431661616812424,0.31226105855202,0.524459172110414,0.0820508448145948,-0.576072439371915,-0.109767547846712,-0.0585453418275024,-0.573740727150016,-0.161268227261601
"19",0.331624425988785,-0.0230403879384085,1.09193981473974,0.363185467349782,-0.966203820808444,-0.6027480340839,0.540321103542566,-0.389052958928113,0.41984719576077,0.229982367305033,-0.0669759543999256,0.113437658713667,0.782963757604088,0.724800360199424,0.590026985150276,-0.856387910866061,-0.780483298627799,-1.3175399885708,-0.788024106090699,0.438197205124721,0.845318884692092,0.497727619599199,-0.110145225401675,0.504032160002391,0.820278540130143,0.070020377498343,-0.00989468471659236,0.330493352999339,-0.0739832139549496,0.675182095238248,0.771490017923268,0.74973213162205,0.728397035751029,0.836467020394874,0.461963526367395,0.357106217987163,1.15909995979678,0.738910791347366,0.507887414638844,0.134173501969551,0.367401977143991,0.602934133996087,0.211155946554417,-0.984593117214071,-0.21345758285362,-0.514167590747272,-1.05463981801233,-0.677104794288897,-0.836342634288483,-0.113247958431919,-0.393100922092209,-0.158971707808276,-0.70172335178742,-0.646236431272801,-0.660974650051847,-1.33613795026365,-1.40573663276624,-0.663128034889986,-0.904038330970459,-0.73581828764945,-1.15023625751604,-1.03472634133043,-1.12206842973075,-0.83335656686206,-1.43892341018524,-0.816219326186708,-1.06594224324422,-0.804840144123884,-0.887897979921484,-0.808535321803421,-0.683260114257884,-0.523814067042696,-1.10821322487753,-0.966896596000863,0.812825194024107,-0.314668941360597,-0.489229594591514,-0.134358337878691,-0.769879634309761,-0.314824789003154,-0.929811545719224,-0.651536730812554,-0.384958601995439,-1.49488029851904,-1.01313569566467,-1.39484904872
"20",-0.474411374591112,-0.00894238294722051,-0.252435838519261,0.41148917218789,-0.778435351743415,-0.5543069153479,0.447493618587019,0.599928547994829,0.576613112704825,0.58941242014364,0.353850308224733,0.637972473885135,0.36342962752028,0.153166586263498,0.555997376425783,-0.631502548881496,-0.486278235428268,-1.02500347905656,-0.59536163873433,0.655372946084258,0.982462526101063,0.468937565655894,0.71855667147265,0.645832045083711,-0.574415302875605,-0.915646579595386,-0.722059375150414,0.06861764496669,-0.310311151158114,-0.146107241138083,-0.0370429690041953,0.0258610687163642,-0.63642021626043,0.943522447009184,0.558928231678056,0.503926502320986,0.761186697950347,0.847583617412695,0.804585399499141,0.510761999453311,0.472865329308127,-0.057195496245119,0.510494917957178,-0.0358629103027724,-0.0315228531114467,0.627163929312383,0.219069238996041,0.157236829873946,0.0945064561127188,0.382065711637603,-0.258651878330171,0.762874345775255,0.252819659822134,-0.527934472757312,-0.56095093568938,-0.457809407907638,-1.10424725202522,-0.551229006302515,-0.609646015662883,-0.612662869150184,-1.01680387580881,-0.74459818387886,-0.505044181830756,-0.643448419644359,-0.341785210606447,-0.270023957795296,0.0336176593196917,0.218678501479275,-0.316435529752127,-0.342127999982786,-0.0788124365304752,0.088940707223015,-0.169777085057928,-0.684433267741479,1.03861602449362,-0.0997536303546133,0.415842905489004,0.53038697740881,-0.434199146566059,-0.370999331122608,-0.0637022660605845,-0.52718329044267,-0.502922606207124,-0.280157357848475,-0.109455072716543,-0.308335655884826
"22",-0.0845176839891272,-0.266281163174144,0.373000667854619,-0.892174003468675,-1.16820271379195,-0.770886494852647,0.624011663031495,0.174237643932028,-0.208235371591783,0.45178819196433,0.453080518589315,-0.304987799757797,0.0011074463995216,-0.21731030792169,0.536325037679254,0.603995635553106,0.83340754671349,0.537490391784801,0.868466354455002,0.587450139792195,-0.771984477882039,0.412587894223999,-0.00337251470369693,0.572157751448095,0.304388190473701,-0.686435777720991,-0.34308158074002,0.644765562477638,0.038607862926148,-0.665728910538978,0.512183748819201,0.459596935031652,0.296060678276391,1.00291236611822,0.582538755934067,-1.34367205057638,-0.0881068346714399,-0.604462571099126,-0.51457041394211,-0.648511508361749,-0.984225280652006,-0.686870068364535,-0.633815432078261,-0.987547282675972,-0.598168542672496,-0.313997746474162,-0.944142668541132,-0.39241401224867,-0.660065776853362,-0.043654770597255,0.401650662469038,-0.135536498345609,-0.145992215173223,0.926714060480977,0.494891276688892,0.314125771979517,0.854221809887732,-0.500591215380459,0.603051712974541,-0.653655243340316,0.647561164470695,-0.0823891819966913,-0.849448271977742,-1.04372067637927,-1.096176754741,-0.376431937813582,-0.926509723999007,-0.408600415184044,-0.921977308695167,-1.63359589679497,-1.1140575630248,-0.292721563711433,-0.440930470119859,-0.243042066675897,-0.563819487500913,0.521582209882445,-0.339184900361239,-0.746429316473277,-0.11908748697998,0.152681025365062,-0.131035228711954,-0.580586166336944,-0.116432685625045,-0.456173855028536,-0.535745510262119,-0.390880878952207
"24",1.31359670697541,0.644374876518793,0.248085631736879,-0.977769251228539,0.562480774368075,-1.07332411991277,0.67211000119161,0.528256259391443,1.50322290366893,0.524875406298509,-0.0359271939995441,-0.88642338889961,-1.10264054290603,-1.32372922763527,-1.07188841933847,-0.74136994935288,-0.604886734439287,-1.16851181729912,-0.678627504924298,-0.872481810696005,-0.462038218371992,-1.73986374193146,-1.20742511485901,-1.2138528413778,-0.649543375444891,-0.656923834339395,0.724417989251095,0.952169790497888,0.42303075965438,1.22443000878139,-0.126119296814905,-1.04310344075723,0.745838730323413,-0.614940649979684,0.353793554810009,0.649693923419694,0.538807750736647,0.695310721652686,1.27609728133376,0.770561803917726,0.70451321291146,-0.872847501586109,-0.693577327312701,-0.520995656837742,-0.876763716056928,-0.172632476226943,0.698808405221589,0.526167446947018,0.290104781003763,0.16797305512845,-0.890900998102979,-0.920314061414805,-0.653099641979951,-0.484370609628311,-1.10716684613576,-0.74084042678662,-1.16464042147648,1.07739417587043,0.406590631465612,0.674060578835187,0.526240349885915,0.252622564454991,-0.102815321440313,0.918278831709336,0.192077357619557,0.817152727002459,0.287936567452616,-0.199980741007906,0.334926092247328,0.631824322787047,1.42729430129198,0.916018810228195,0.441191565543136,0.834198807416899,-0.32718430486143,0.0733570407924155,-0.266166863412734,0.463455617817227,1.0941977059762,0.310452831091622,0.147738449010763,-0.45785321007345,-0.257280844417526,-0.551380229904841,-0.388056476257576,0.37930582148704
"32",0.42337460869786,0.0159005103139252,0.769519930557263,-0.278963945950986,0.319409087790955,0.598958263554357,-0.513609123809792,-0.97790649762174,-0.836337635368614,-1.04440611638591,0.246167647624655,-0.336088239569731,-0.0101570398117105,-0.207549902580426,0.0559611359183649,-0.889502742375199,-0.411480369640833,0.605748579222986,0.956942975446383,-0.580548665146897,-0.581016777338555,0.324572151069784,-0.917814104601117,-0.998674769423399,0.100016431928108,-0.0505528889388207,0.864478362174756,0.110691413794709,0.0545202297610101,0.476543291352308,0.356543096139644,-0.0445745085224706,0.552257253809163,-0.0902240080951892,-0.156272268214958,0.252258360251729,0.413240633391996,0.591113396306733,-0.674137488735344,-0.484507516483822,0.471281236112562,-0.1099520965231,-0.21484744787108,-0.792280477603453,-0.856763589403943,-0.605506575449963,-0.734217648464979,-0.469385255003792,-0.386974763342651,-0.392606817879141,-0.11569632606956,-0.562848350403045,-0.429208713724002,0.0395508885458505,0.481995501380815,-0.0125655869375789,0.86188778744692,1.18757978032783,0.82387708594033,0.495085960747816,0.579960897097757,0.102223363349058,0.67571616185928,0.700347179974911,0.213738322835548,-0.38695978921752,-0.545510284947576,-0.688349854732189,0.319069999317214,0.0442553517956667,-0.561752915504521,-0.265840536990594,-0.320970433303631,0.0677934164032298,-0.689677202843267,-1.243957310458,-1.71390767782308,-1.06606693736227,-0.0713832548470428,0.145096887358241,-0.321815462056126,0.791245379353411,-0.299459318404177,0.22499707910043,-0.5578374174994,-0.628288290143613
