"","Plant","Bench","Row","Column","Osmocote","Salt","Treatment","Bench.1","Tray","Tplant","TRow","TColumn","Accession","Species","Type","Group","Cross","Plate","Accession.","Transplant_Date","Notes_053118","Chlorophyll","SLA.biomass","Aboveground.biomass","Belowground.biomass","RNA.leaf.biomass","X2.RNA.bags..weight.of.2nd","PlantDied","Chlorophyll.1","Tot_AG","Tot_BG","Tot_Biomass","TissueBox.","Date_ground","Date_RNA_extracted","SeqPlate","SeqPlateRow","SeqPlateColumn","GGBC.RIN","My_RIN","Reproductive","SampleDay","MisIDed","leaf.part","Midvein.included.","SampleNotes","X"
"241",298,5,14,"A","Low","Salt","Combo",14,2,97,"C",1,"RHA 377","annuus","cultivated","RHA",1,4,9,"4/30/18","",20.2,0.1566,0.9148,0.2982,0.1025,NA,"",20.2,1.228,0.2982,1.5262,5,"20-Jul","11/2/18",2,"G",7,7.8,"8.4","yes",1,"n","half","no","",""
"243",300,5,16,"A","Low","Salt","Combo",16,2,99,"C",3,"HA 412 HO","annuus","cultivated","HA",1,4,5,"4/30/18","",18.3,0.3235,2.1883,0.803,0.1633,NA,"",18.3,2.8353,0.803,3.6383,4,"19-Jul","10/23/18",1,"H",3,7.6,"8.4","no",1,"n","half","no","",""
"244",301,5,17,"A","High","Salt","HighSalt",17,2,100,"C",4,"RHA 377","annuus","cultivated","RHA",1,3,10,"4/30/18","1 bud",21,0.1093,0.414,0.1413,0.0667,NA,"",21,0.6326,0.1413,0.7739,2,"17-Jul","10/23/18",1,"H",4,7.9,"8.4","yes",1,"n","half","no","",""
"246",304,5,2,"B","High","Salt","HighSalt",20,2,103,"C",7,"RHA 373","annuus","cultivated","RHA",2,5,8,"4/30/18","",23.2,0.1915,0.5245,0.1527,0.0891,NA,"",23.2,0.9075,0.1527,1.0602,3,"18-Jul","10/23/18",1,"H",5,7.7,"8.4","no",1,"n","half","no","",""
"247",307,5,5,"B","Low","Salt","Combo",23,2,108,"C",12,"RHA 373","annuus","cultivated","RHA",2,5,10,"4/30/18","",22.9,0.1538,0.8081,0.2706,0.098,NA,"",22.9,1.1157,0.2706,1.3863,11,"1/9/19","2/11/19",3,"G",6,7.9,"8.6","no",1,"n","half","no","",""
"248",308,5,6,"B","Low","Salt","Combo",24,2,110,"D",2,"HA 445","annuus","cultivated","HA",2,5,6,"4/30/18","",18.6,0.1297,0.7358,0.3401,0.1373,NA,"",18.6,0.9952,0.3401,1.3353,8,"24-Jul","11/16/18",2,"G",9,6.7,"8.5","no",1,"n","half","no","",""
"249",309,5,7,"B","Low","NoSalt","LowNut",25,2,113,"D",5,"RHA 373","annuus","cultivated","RHA",2,1,11,"4/30/18","",17.1,0.3227,0.8625,0.3893,0.1628,NA,"",17.1,1.5079,0.3893,1.8972,4,"19-Jul","10/30/18",1,"H",6,7.5,"8.1","no",1,"n","half","no","",""
"251",311,5,9,"B","Low","Salt","Combo",27,2,115,"D",7,"HA 89","annuus","cultivated","HA",3,2,7,"4/30/18","",23,0.1928,1.2485,0.3602,0.1426,NA,"",23,1.6341,0.3602,1.9943,4,"19-Jul","10/23/18",1,"H",7,7.3,"7.9","no",1,"n","half","no","",""
"253",313,5,11,"B","Low","Salt","Combo",29,2,121,"E",1,"RHA 373","annuus","cultivated","RHA",2,1,12,"4/30/18","",22.4,0.1469,0.4821,0.2639,NA,NA,"",22.4,0.7759,0.2639,1.0398,10,"11/9/18","11/27/18",2,"G",11,7.6,"8.4","no",1,"n","whole","yes","whole leaf",""
"255",316,5,14,"B","Low","NoSalt","LowNut",32,2,128,"E",8,"RHA 274","annuus","cultivated","RHA",3,2,8,"4/30/18","1 bud",12.6,0.2309,1.4386,0.8196,0.1736,NA,"",12.6,1.9004,0.8196,2.72,8,"24-Jul","11/16/18",2,"G",12,7.5,"8.4","yes",1,"n","half","no","",""
"257",318,5,16,"B","Low","NoSalt","LowNut",34,2,130,"E",10,"RHA 373","annuus","cultivated","RHA",2,1,13,"4/30/18","",15.7,0.326,1.9095,0.9938,0.1788,NA,"",15.7,2.5615,0.9938,3.5553,9,"10/29/18","11/30/18",3,"G",8,7.9,"8.3","no",1,"n","half","no","",""
"259",322,5,2,"C","High","NoSalt","Control",38,2,137,"F",5,"RHA 373","annuus","cultivated","RHA",2,1,14,"4/30/18","",24,0.4547,1.4301,0.7451,0.275,NA,"",24,2.3395,0.7451,3.0846,8,"24-Jul","11/6/18",2,"H",2,7.6,"8.3","no",1,"n","half","no","",""
"264",327,5,7,"C","High","NoSalt","Control",43,5,290,"A",2,"HA 412 HO","annuus","cultivated","HA",1,2,14,"5/1/18","",21.5,1.0549,11.0079,3.242,0.6538,NA,"",21.5,13.1177,3.242,16.3597,4,"19-Jul","10/30/18",2,"H",6,7.3,"8.2","no",1,"n","half","no","",""
"269",332,5,12,"C","High","NoSalt","Control",48,5,299,"A",11,"HA 89","annuus","cultivated","HA",3,1,18,"5/1/18","",19.5,0.8033,6.5943,2.0676,0.5027,NA,"",19.5,8.2009,2.0676,10.2685,8,"24-Jul","11/19/18",2,"H",7,7.7,"8.3","yes",1,"n","half","no","",""
"273",337,5,17,"C","Low","NoSalt","LowNut",53,5,308,"B",8,"HA 412 HO","annuus","cultivated","HA",1,2,16,"5/1/18","",12.7,0.2849,3.9615,1.7828,0.2417,NA,"",12.7,4.5313,1.7828,6.3141,11,"30-Nov","2/21/19",3,"H",2,7,"8.4","no",1,"n","half","no","",""
"275",339,5,1,"D","High","Salt","HighSalt",55,5,310,"B",10,"RHA 377","annuus","cultivated","RHA",1,5,23,"5/1/18","1 bud",22.4,0.1195,0.6382,0.3033,0.0897,NA,"",22.4,0.8772,0.3033,1.1805,9,"10/29/18","11/19/18",2,"H",9,7.6,"8.2","yes",1,"n","half","no","",""
"276",340,5,2,"D","Low","NoSalt","LowNut",56,5,312,"B",12,"RHA 377","annuus","cultivated","RHA",1,5,24,"5/1/18","1 bud",19.6,0.2929,1.3076,0.3878,0.1711,NA,"",19.6,1.8934,0.3878,2.2812,9,"11/2/18","12/3/18",2,"H",10,7.3,"8.2","yes",1,"n","half","no","",""
"283",350,5,12,"D","High","Salt","HighSalt",66,5,325,"D",1,"HA 89","annuus","cultivated","HA",3,1,20,"5/1/18","",23.5,0.2817,1.5115,0.4851,0.1722,NA,"",23.5,2.0749,0.4851,2.56,9,"10/29/18","11/19/18",2,"H",12,7.7,"8.4","no",1,"n","half","no","",""
