"","Threshold","ModuleNumber","MeanNumGenes","MinNumGenes","MaxNumGenes","MeanVarExp","MinVarExp","MaxVarExp"
"1",0.05,116,200.310344827586,30,2269,0.495832345050707,0.250285008344513,0.692796605649949
"2",0.1,112,207.464285714286,30,2269,0.4943086169729,0.270488344485152,0.692796605649949
"3",0.15,103,225.592233009709,30,2269,0.491255076947965,0.270488344485152,0.692796605649949
"4",0.2,86,270.186046511628,30,4236,0.483324539358938,0.293748482760345,0.692796605649949
"5",0.25,70,331.942857142857,30,4236,0.47202570185631,0.288351671190878,0.692796605649949
"6",0.3,54,430.296296296296,30,4236,0.452042999401622,0.288351671190878,0.63487402920754
"7",0.35,44,528.090909090909,35,5148,0.438341012415518,0.26148439458873,0.63487402920754
"8",0.4,33,704.121212121212,66,6168,0.414856942380327,0.247116492754949,0.606672409631272
"9",0.45,24,968.166666666667,66,6327,0.39910505965293,0.245208884294118,0.541837993118911
"10",0.5,21,1106.47619047619,86,6121,0.388507787772559,0.247384315125497,0.541837993118911
"11",0.55,18,1290.88888888889,86,7155,0.382495856857834,0.226467983056573,0.474808564471326
"12",0.6,13,1787.38461538462,86,7390,0.34532475331091,0.226467983056573,0.474808564471326
"13",0.65,9,2581.77777777778,86,7783,0.315728377284973,0.216907659624683,0.474808564471326
"14",0.7,8,2904.5,86,10763,0.327134579666039,0.174364530119139,0.474808564471326
"15",0.75,6,3872.66666666667,338,9544,0.264121915833126,0.192279346935898,0.474808564471326
"16",0.8,5,4647.2,100,11262,0.324086139041676,0.170523634961606,0.474808564471326
"17",0.85,2,11618,11262,11974,0.174482282247211,0.163706333241401,0.185258231253021
"18",0.9,2,11618,11362,11874,0.174341119292339,0.164731034480256,0.183951204104422
"19",0.95,2,11618,8881,14355,0.184044096300292,0.154316944136598,0.213771248463986
"20",1,2,11618,8881,14355,0.184044096300292,0.154316944136598,0.213771248463986
